BARRIO,poblacion2010,densidadPobl2010
AGRONOMIA,13912,6555.33
ALMAGRO,131699,32515.09
BALVANERA,138926,31991.01
BARRACAS,89452,11240.81
BELGRANO,126831,15977.78
BOCA,45113,8981.30
BOEDO,47306,18126.47
CABALLITO,176076,25700.65
CHACARITA,27761,8902.58
COGHLAN,18604,14534.69
COLEGIALES,52551,22950.22
CONSTITUCION,44107,20973.41
FLORES,164310,19120.95
FLORESTA,37575,16192.30
LINIERS,44132,10086.89
VILLA LUGANO,126374,13602.20
MATADEROS,64436,8713.77
MONSERRAT,39914,18159.14
MONTE CASTRO,33623,12796.67
NUEVA POMPEYA,42695,8588.16
NUÑEZ,51949,11943.13
PALERMO,225970,14324.16
PARQUE AVELLANEDA,53229,11243.22
PARQUE CHACABUCO,56281,14686.72
PARQUE CHAS,17489,12626.81
PARQUE PATRICIOS,40985,10947.73
PATERNAL,19717,8843.16
PUERTO MADERO,6726,1338.40
RECOLETA,157932,25100.49
RETIRO,65413,14450.24
SAAVEDRA,50295,9088.61
SAN CRISTOBAL,48611,23785.65
SAN NICOLAS,29273,12784.95
SAN TELMO,20453,16601.43
VILLA SANTA RITA,33325,15473.36
VELEZ SARSFIELD,35081,14612.46
VERSALLES,13822,9843.03
VILLA CRESPO,81959,22682.49
VILLA DEL PARQUE,55273,16256.67
VILLA DEVOTO,66521,10434.65
VILLA GRAL. MITRE,34713,16053.94
VILLA LURO,32502,12662.94
VILLA ORTUZAR,21736,11724.62
VILLA PUEYRREDON,39654,12022.52
VILLA REAL,13419,10165.89
VILLA RIACHUELO,14084,3297.35
VILLA SOLDATI,46779,5356.74
VILLA URQUIZA,91563,16803.39
,,
,,
