Comuna,conjuntoBarrios,fullCant,hubCant,mixCant,compCant,noCant,poblComu,vivSi,construc,asocSi,servSi,sinUso,espacioPub,RUStotal,RUSComercial,fullPComu,hubPComu,mixPComu,compPComu,noPComu,fullPCABA,hubPCABA,mixPCABA,compPCABA,noPCABA,
1,CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO,2502,2554,7263,2730,2163,243946,9044,126,111,313,3866,277,30949,17212,0.1453636997,0.1483848478,0.4219730421,0.1586102719,0.1256681385,0.2128818174,0.0861731561,0.1354405594,0.1401941149,0.1039603960,
2,RECOLETA,507,814,2919,1177,648,150714,6830,50,8,54,677,47,13731,6065,0.0835943941,0.1342126958,0.4812860676,0.1940643034,0.1068425392,0.0431379222,0.0274647412,0.0544335664,0.0604426642,0.0311448621,
3,BALVANERA - SAN CRISTOBAL,836,1819,6525,1719,1448,191323,10357,95,72,80,3072,130,26153,12347,0.0677087552,0.1473232364,0.5284684539,0.1392241030,0.1172754515,0.0711307751,0.0613739119,0.1216783217,0.0882760746,0.0695953090,
4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,779,3940,2612,993,1797,234933,26426,115,53,111,3774,485,41085,10121,0.0769686790,0.3892895959,0.2580772651,0.0981128347,0.1775516253,0.0662809495,0.1329374452,0.0487086247,0.0509936836,0.0863693165,
5,ALMAGRO - BOEDO,591,1403,2405,1177,1306,185301,16312,76,78,34,2085,66,25533,6882,0.0858761988,0.2038651555,0.3494623656,0.1710258646,0.1897704156,0.0502850336,0.0473378770,0.0448484848,0.0604426642,0.0627703547,
6,CABALLITO,394,1120,2241,1093,843,183046,17743,118,29,30,1220,40,24871,5691,0.0692321209,0.1968019680,0.3937796521,0.1920576349,0.1481286241,0.0335233557,0.0377893245,0.0417902098,0.0561289991,0.0405171585,
7,FLORES - PARQUE CHACABUCO,679,1883,4013,1233,1370,236838,29993,109,30,31,2390,352,42083,9178,0.0739812595,0.2051645239,0.4372412290,0.1343429941,0.1492699935,0.0577724836,0.0635333018,0.0748344988,0.0633184409,0.0658463905,
8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,521,2336,1333,525,1027,219638,22044,100,19,23,1960,129,30017,5742,0.0907349356,0.4068268896,0.2321490770,0.0914315569,0.1788575409,0.0443291075,0.0788177340,0.0248578089,0.0269604067,0.0493607613,
9,LINIERS - MATADEROS - PARQUE AVELLANEDA,735,3197,2825,1015,1562,168681,43292,107,30,29,2992,188,55972,9334,0.0787443754,0.3425112492,0.3026569531,0.1087422327,0.1673451896,0.0625372245,0.1078682772,0.0526806527,0.0521234530,0.0750744977,
10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,628,1964,4577,978,1352,169372,40706,112,10,24,2795,131,53277,9499,0.0661122223,0.2067586062,0.4818401937,0.1029582061,0.1423307717,0.0534331660,0.0662662798,0.0853519814,0.0502233862,0.0649812554,
11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,708,1906,2875,1226,1420,189760,44278,196,15,23,2457,86,55190,8135,0.0870313460,0.2342962508,0.3534111862,0.1507068224,0.1745543946,0.0602399387,0.0643093326,0.0536130536,0.0629589688,0.0682495434,
12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,593,1438,2676,1143,1397,211320,43792,314,24,33,2885,142,54437,7247,0.0818269629,0.1984269353,0.3692562440,0.1577204360,0.1927694218,0.0504552029,0.0485187934,0.0499020979,0.0586966569,0.0671440931,
13,BELGRANO - COLEGIALES - NUÑEZ,709,1173,3637,1613,1262,234846,24577,224,12,49,1489,132,34877,8394,0.0844650941,0.1397426733,0.4332856802,0.1921610674,0.1503454849,0.0603250234,0.0395775693,0.0678228438,0.0828326401,0.0606555801,
14,PALERMO,676,1250,4616,1608,1268,226489,17776,168,8,104,1856,105,29435,9418,0.0717774474,0.1327245700,0.4901252920,0.1707368868,0.1346358038,0.0575172296,0.0421755854,0.0860792541,0.0825758743,0.0609439585,
15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,895,2841,3108,1243,1943,182274,30035,109,24,38,3691,70,43997,10030,0.0892323031,0.2832502493,0.3098703888,0.1239282154,0.1937188435,0.0761507700,0.0958566705,0.0579580420,0.0638319725,0.0933865231,
Grand Total,,11753,29638,53625,19473,20806,3028481,383205,2019,523,976,37209,2380,561607,135295,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
