RAMA (RUS),"TIPO DE ACTIVIDAD (""Tipo 02_16"" del RUS)",CANTIDAD DE RELEVAMIENTOS,REMOTICIDAD FINAL,HERRAMIENTAS DE FABRICACIÓN,POSIBILIDAD DE DISTRIBUCIÓN,NECESIDAD DE TRASLADO CONSUMIDOR,EVALUACIÓN PRESENCIAL DE LA CALIDAD,VENTA EXPERIENCIA PRESENCIAL,HÁBITO DE CONSUMO REMOTO,USOS NO COMERCIALES,REMOTO FULL,REMOTO HUB,REMOTO MIX,R. COMPLEJO,NO REMOTO
EDIFICIOS,VIVIENDA,149060,viviendaSi,,,,,,,viviendaSi,,,,,
"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",METALURGIA,58,remotoHub,Maquinaria pesada,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,6,3,2,3
EDIFICIOS,CASA,97541,viviendaSi,,,,,,,viviendaSi,,,,,
SERVICIOS COMPLEMENTARIOS AL TRANSPORTE,GARAGE PRIVADO,115083,viviendaSi,,,,,,,viviendaSi,,,,,
EDIFICIOS,OFICINAS,6403,remotoFull,Digital,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto considerable,,5,3,2,0,1
UNIFICADO,UNIFICADO EDIFICIO,809,viviendaSi,,,,,,,viviendaSi,,,,,
VENTA Y REP. DE VEHICULOS AUTOMOTORES,ALARMAS PARA AUTOMOTORES (VENTA),53,remotoMix,Herramientas manuales,Factible de manera eficiente,Se traslada un bien,No requiere,Agrega algo de valor,Público remoto potencial,,1,3,4,4,2
VENTA Y REP. DE VEHICULOS AUTOMOTORES,REPUESTOS AUTOMOTOR (VENTA),874,remotoHub,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
SERVICIOS COMPLEMENTARIOS AL TRANSPORTE,DEPOSITO,6544,remotoHub,Maquinaria pesada,No se distribuyen,No requiere,Opcional,No agrega valor,Sin público remoto,,2,3,2,1,3
LOCAL CERRADO,LOCAL CERRADO,27937,sinUso,,,,,,,sinUso,,,,,
VENTA Y REP. DE VEHICULOS AUTOMOTORES,AIRE ACONDICIONADO AUTOMOTORES (COLOCACION Y VENT*,41,remotoComplex,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Público remoto incipiente,,1,2,2,4,4
VENTA Y REP. DE VEHICULOS AUTOMOTORES,LUBRICENTRO,174,remotoComplex,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega mucho valor,Público remoto incipiente,,1,2,2,5,5
