BARRIO,fullCant,hubCant,mixCant,compCant,noCant,vivSi,construc,asocSi,servSi,sinUso,espacioPub,RUStotal,fullPBarrio,hubPBarrio,mixPBarrio,compPBarrio,noPBarrio,fullPCABA,hubPCABA,mixPCABA,compPCABA,noPCABA
AGRONOMIA,54,111,161,80,138,3624,5,1,3,197,1,4375,0.09926471,0.20404412,0.29595588,0.14705882,0.25367647,0.00459457,0.00374519,0.00300233,0.00410825,0.00663270
ALMAGRO,375,832,1670,802,870,9061,45,35,23,1146,14,14873,0.08243570,0.18289734,0.36711365,0.17630248,0.19125082,0.03190675,0.02807207,0.03114219,0.04118523,0.04181486
BALVANERA,679,1335,5833,1385,1073,5996,59,47,66,2194,10,18677,0.06589034,0.12954876,0.56603590,0.13440078,0.10412421,0.05777248,0.04504353,0.10877389,0.07112412,0.05157166
BARRACAS,281,1266,737,314,633,7519,34,16,23,1049,285,12157,0.08696998,0.39182916,0.22810275,0.09718353,0.19591458,0.02390879,0.04271543,0.01374359,0.01612489,0.03042392
BELGRANO,436,700,2393,1029,691,11225,115,1,33,800,70,17493,0.08306344,0.13335873,0.45589636,0.19603734,0.13164412,0.03709691,0.02361833,0.04462471,0.05284240,0.03321157
BOCA,158,604,681,177,265,3182,19,18,49,744,95,5992,0.08381963,0.32042440,0.36127321,0.09389920,0.14058355,0.01344338,0.02037924,0.01269930,0.00908951,0.01273671
BOEDO,216,571,735,375,436,7251,31,43,11,939,52,10660,0.09258465,0.24474925,0.31504501,0.16073725,0.18688384,0.01837829,0.01926581,0.01370629,0.01925743,0.02095549
CABALLITO,394,1120,2241,1093,843,17743,118,29,30,1220,40,24871,0.06923212,0.19680197,0.39377965,0.19205763,0.14812862,0.03352336,0.03778932,0.04179021,0.05612900,0.04051716
CHACARITA,170,413,426,179,348,4009,19,3,10,666,26,6269,0.11067708,0.26888021,0.27734375,0.11653646,0.22656250,0.01446439,0.01393481,0.00794406,0.00919221,0.01672594
COGHLAN,62,111,169,80,137,3939,26,2,1,200,5,4732,0.11091234,0.19856887,0.30232558,0.14311270,0.24508050,0.00527525,0.00374519,0.00315152,0.00410825,0.00658464
COLEGIALES,122,242,656,299,280,5679,31,5,6,333,27,7680,0.07629769,0.15134459,0.41025641,0.18699187,0.17510944,0.01038033,0.00816519,0.01223310,0.01535459,0.01345766
CONSTITUCION,171,490,938,335,619,2704,22,45,18,901,56,6299,0.06698002,0.19193106,0.36741089,0.13121817,0.24245985,0.01454948,0.01653283,0.01749184,0.01720331,0.02975103
FLORES,438,1186,3333,868,873,18382,73,20,18,1528,130,26849,0.06539265,0.17706778,0.49761123,0.12959092,0.13033741,0.03726708,0.04001620,0.06215385,0.04457454,0.04195905
FLORESTA,161,387,2791,221,301,6689,29,1,7,892,8,11487,0.04169904,0.10023310,0.72286972,0.05723906,0.07795908,0.01369863,0.01305756,0.05204662,0.01134905,0.01446698
LINIERS,262,494,1231,407,483,13124,38,8,10,777,63,16897,0.09106708,0.17170664,0.42787626,0.14146681,0.16788321,0.02229218,0.01666779,0.02295571,0.02090073,0.02321446
MATADEROS,290,1916,1049,396,702,19227,58,18,11,1424,53,25144,0.06662072,0.44015621,0.24098323,0.09097174,0.16126809,0.02467455,0.06464674,0.01956177,0.02033585,0.03374027
MONTE CASTRO,156,521,573,216,325,9264,31,3,7,515,7,11618,0.08710218,0.29089894,0.31993300,0.12060302,0.18146287,0.01327321,0.01757878,0.01068531,0.01109228,0.01562049
MONSERRAT,655,617,1187,352,472,1874,33,38,95,968,35,6326,0.19951264,0.18793786,0.36155955,0.10721901,0.14377094,0.05573045,0.02081787,0.02213520,0.01807631,0.02268576
NUEVA POMPEYA,255,1416,704,293,546,10143,31,6,10,1229,74,14707,0.07934039,0.44057250,0.21904169,0.09116366,0.16988177,0.02169659,0.04777650,0.01312821,0.01504647,0.02624243
NUÑEZ,151,231,588,285,291,7673,78,6,10,356,35,9704,0.09767141,0.14941785,0.38033635,0.18434670,0.18822768,0.01284778,0.00779405,0.01096503,0.01463565,0.01398635
